"Title","When Lost","Where Lost","Builder","Owner","Master","Sinking","Found","Beam","Bearing to Bow","Cargo","Chart Number","Comments","Confidential","Country Built","Crew","Date Inspected","Deaths","Draft","Engine","File Number","Found","Inspected","Latitude Max","Latitude Min","Length","Length of site","Longitude Max","Longitude Min","Minimum Depth of site","Official Number","Port Built","Port From","Port Registered","Port To","Position Information","Protected","Sources","Sunk Code","TONA","TONB","When Built","Unique Number","Construction","Industry1","Industry2","Type","Region"
"Tarni Nepo","1970/01/08","Peaceful Bay","","","D. Battye","Sunk after explosion","N","","","","","","NO","","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","1210","","Fisheries","","Shipwreck","S Coast (Walpole)"
"Tasman","1958/06/30","Drummond Cove","","","J. Willers","Dragged mooring, wrecked on beach","N","","","","A 751","","NO","","","","","","N","117/80","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","","","","868","","Fisheries","","Shipwreck","Mid-West (Geraldton)"
"Tasmanian","1908/12/10","North West of Broome","","Newman & Co","C. Stuart","Cyclone","N","","","","1207","Came out of cyclone of April of the same year well","NO","","6","","6","","N","3/79","N","N","","","","","","","","","","","","","","Protected Federal","West Australian 1908/05/04, p. 5g","","","","","631","","","","Shipwreck","North West (Broome Area)"
"Teddy Volney","1935/03/26","Lacepede Islands","Mr Murray & Mr Howson","Streeter & Male, Broome","","Cyclone","N","3.70","","","1207, 1048, 323","One of 24 luggers lost in this cyclone","NO","WA","","","","1.60","N","7/78, 3/79","N","N","","","11.30","","","","","125013","Fremantle","","Fremantle","","","Protected Federal","HMC 41/5 McKenna Collection 684, WA  Maritime Museum
British Register of Shipping, Fremantle","Wrecked and sunk","12.92","15.42","1910","354","Carvel","Fisheries","pearling","Shipwreck","North West (Lacepedes Area)"
"Telephone","1888/11","La Grange Bay","","","","Abandoned,  previously damaged","N","","","","","","NO","Unknown","","","","","N","7/78","N","N","","","","","","","","","","","","","","Protected Federal","West Australian, 6 November 1888, p. 3c","Wrecked and sunk","","","","577","Unknown","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Teresa","1959/08/08","Drummond Cove","","","R. Ayling","","N","","","","A 751","","NO","","","","","","N","117/80","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","","","","146","","Fisheries","","Shipwreck","Mid-West (Geraldton)"
"Tess","1908/04/26","Off Broome","E. Howson","Francis & Wallace","J. Barnes & Arthur Male","Cyclone","N","3.40","","","1207","","NO","WA","6","","5","0.90","N","3/79","N","N","","","11.50","","","","","117806","Fremantle","","Fremantle","","","Protected Federal","HMC 137/3 West Australian 1908/04/29, p. 7f-g West Australian 1908/04/30, p. 5e-f Northern Times, May 2, 1908, page 2 Northern Times, May 9, 1908, page 2: account of search party onboard SS Paroo on May 4/5 The Western Mail 1908/05/02, p. 16a-","Wrecked and sunk","12.46","15.92","1903","707","Wooden","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Thames","1830/05/22","Fremantle, South Bay","","J. Blackett","Captain Anderson","Blown ashore","Y","","","Sheep, 7 heifers, 15.000 bricks and timber","","","NO","UK","28","","","4.90","N","2011/0023/SG _MA-9/80","Y","N","-32.063871","","","","115.749321","","","","","Hobard","London","Mauritius","Historical map GIS","Protected State","C. Bateson, The Convict Ships (Artarmon, N.S.W., 1974)
Graeme Henderson, Unfinished Voyages, 1622-1850
Shown on Map of Fremantle dated 1833
Shown on Chauncey Map Fremantle 1844","Foundered","366.00","","1818","580","Wooden","","","Shipwreck","Metro (S Fremantle)"
"The Brothers","1848 (1867)","","","","","","N","","","","","","NO","Unknown","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","(1867) RAN Hydrographic Department database","","","","","582","","","","Shipwreck","Unknown"
"The Bruce","1918/03/19","Albany, east of Town Jetty","Ernest and Charles Dunn of Browne's Bay, Sydney","Alexander Amstrong and George Waters, Albany","G. Robeson","Alongside hulk Margaret at Albany","N","5.67","","","2619","
The Bruce was built by Ernest and Charles Dunn at Berry’s Bay on the north shore of Sydney Harbour. The steamer was cutter-rigged having one deck, three bulkheads, an elliptical stern and a billet head. The engine by Moss & Duncan of Govan, Scotland, produced 25 nominal horsepower and was fed steam from a steel boiler operating at 120 lbs/sq. in.
The first owner of The Bruce was John Frederick Tasman Hassell of Albany, and it was registered at Fremantle (No. 5/1898). On 1 July 1898 it was sold to Alexander Armstrong, also of Albany. It was subsequently sold to the Alexander Armstrongs (Sr and Jr) and George Waters, as joint owners. When Armstrong (Sr) died on 21 October 1901 his son and Waters became joint owners. In 1918 the vessel was valued at £2 500 although insured for only£1 500. At this time the master was G. Robeson.
THE LOSS
The Bruce was moored alongside the hulk Margaret at the Town Jetty when soon after 8.00 p.m. the tug caught fire. The alarm was raised, but it was nearly half an hour before the fire brigade reached the scene. Flames burned through the mooring lines and the tug drifted out from the jetty, making the firemen’s efforts fruitless as the hoses could not reach the burning vessel. The tug Awhina stood by to prevent The Bruce from drifting and doing damage to other vessels. Eventually the still burning vessel was towed to the shallow water on the east side of the municipal baths, ‘and there at 10 o’clock she was still a ball of fire, although all fittings above the water-line had disappeared’ (Albany Advertiser, 20 March 1918: 3b).
SITE LOCATION
What little remains of The Bruce is buried under reclaimed land now covered by modern port developments.
INITIAL SALVAGE
N. Pannet stated in 1991 that his father had demolished The Bruce using explosives in order to recover brass fittings. Much of the resultant debris was then taken away from the site. The boiler and funnel from The Bruce were recovered and used on the steamer Silver Star. The engine appears to have been left on the beach, but the propeller was salvaged and later sold.","NO","NSW","4","","","2.56","2-cylinder compound steam engine, 25 NHP & 250 IHP","195/72","N","N","","","22.86","","","","","106158","Sydney, Berry's Bay","Albany","Fremantle","Albany","","Protected Federal","Worsley P. & J. (in prep) Green Seas & White  Horses: Wrecks of  the  South Coast.    Special Publication  Australian National Centre of Excellence for Maritime Archaeology, Fremantle.
Gordon de L. Marshall, Memories of Maritime Albany Harbour & Light File AN 16/5/ ACC 1066/ 591/1918 BATT McKenna Collection No 681, WA  Maritime Museum","Burnt","36.92","54.29","1897","859","Wooden","Services","port services","Shipwreck","S Coast (Albany)"
"The Two Friends","1925/08/06","Off Dirk Hartog Island","","","","Lost","N","","","","1056","Co-ordinates 10' off","NO","","3","","3","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","","15.00","","","609","","Fisheries","","Shipwreck","Mid-West (Shark Bay)"
"Thelma","1903/01/18","Unknown, between Fremantle  and Broome","W. & S. Lawrence, Perth WA","George Richardson Norman","C. Gramkie (L. Grampia)","Vessel wrecked on voyage to Fremantle","N","3.70","","","","","NO","WA","3","","3","93.00","N","","N","N","","","11.00","","","","","117783","Fremantle","Fremantle","Fremantle","Broome","","Protected Federal","Her Majesty's Custom House 113/3 West Australian 1903/03/02, p. 5g West Australian 1912/02/03, p. 2f McKenna Collection 682, WA  Maritime Museum","Wrecked and sunk","12.38","15.88","1902","1498","Wooden","Fisheries","pearling","Shipwreck","Metro (S Fremantle)"
"Theresa","1887/04/22","Off Eighty Mile Beach","","","","Cyclone","N","","","","1048","","NO","WA","","","","","N","116/80","N","N","","","","","","","","","","","","Norht West Coast","","Protected Federal","","Wrecked and sunk","","","","583","Comp.","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"Thermoni 11","1966/07/09","N.W. of Bunbury","","","L. Soulis","Sunk by rough seas","N","","","","","Co-ordinates 5' off","NO","","","","","","N","405/71","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","876","","Fisheries","","Shipwreck","SW Coast (Bunbury)"
"Thetis","1846/07/29","Torbay","","","G.V. Marten","","N","3.40","","Whale oil","","  Thetis was built for Messrs Morton and Gray at Fremantle and launched on 24 April 1845. It had one deck, a square stern, a scroll head, and was described in a newspaper as ‘a pretty little vessel, and has more the appearance of a yacht than a profitable trading craft’ (Gazette, 26 April 1845: 2c). However, Mrs Eliza Chester, who travelled as a passenger from Fremantle to Albany in 1845, considered it:
 a most miserable and wretched little boat. When lying in my bunk I could not raise my head, for if I did I would bump it. I slept on one side of the boat, my mother in the centre and my two sisters on the other side. The ship was not lined. We came down to our bunks through a hole about two feet across. There was no ladder, but hanging down from the centre of the roof was a horrible old rusty chain, the end of which lay in coils on the bottom of the boat in bilge water. Outside the hole on the deck was an iron grid they used to boil the kettle on (Western Mail, 27 January 1927: 16c).
Many of the schooner’s early voyages were under the command of Thomas Morton, a part-owner. As Morton and Gray were involved in whaling at Torbay, the schooner’s cargo was very often related to this trade. For instance when it arrived at Fremantle on 3 February 1847 from King George Sound via the various south-west ports the cargo included 18 casks of oil and five bundles of whalebone.
In July 1846 it was stranded at Torbay, but soon got off. In May 1847 it was sold to the Pelsart Fishing Company for £164. On 30 March 1848 that company sold the Thetis to Patrick Marmion for £97 10s 0d, and this was the first voyage under his ownership.
The Thetis was under the command of Thomas Frederick Flanders Gilman with a crew of two. On the voyage to Augusta the small schooner had sprung its mainmast As a consequence it had called at Castle Rock where a new mast of ‘blue-gum’ (Inquirer, 17 May 1848: 2b) was made, fitted and rigged, the Thetis departing there on 5 May to continue the voyage.
THE LOSS
After landing some cargo for James Turner at Augusta the Thetis set course for Bunbury. However, strong westerly winds prevented it from rounding Cape Leeuwin, so the schooner was turned to run eastward and sought shelter near Black Point. Here the vessel anchored in a small bay near the point. Because the swell produced by the gale threatened to overwhelm the anchored Thetis the cables were slipped, and the schooner deliberately beached to prevent it foundering. Using a rope swum ashore by the two crewmen, Gilman reached the shore safely, and they then walked back to Augusta. The schooner went to pieces on the rocks.
INITIAL SALVAGE
On the arrival of the crew of the Thetis at Augusta the Turners went to the site of the wreck with their bullocks and horses to salvage what they could, but found that the wreck had completely broken up. Some of the cargo was saved, all of it damaged to some extent.
SITE LOCATION
The wreck of the Thetis has not been found.","NO","WA","","","","1.50","N","381/77","N","N","","","11.40","","","","","1076","Fremantle","","Fremantle","","","Protected Federal","Worsley P. & J. (in prep)  Wrecks of  the  South Coast.    Special Publication  Australian National Centre of Excellence for Maritime Archaeology, Fremantle","Wrecked and sunk","14.00","","1845","585","Wooden","Fisheries","whaling","Shipwreck","S Coast (Albany)"
"Thisbe","1904/12/23","Southern end of the Murray Reef","","","","Lost her headway on the heavy swell","N","","","equipment","","","NO","","3","","2","","N","9/80/1, 206/80","N","N","","","","","","","","","","Fremantle","","Mandurah","","Protected Federal","Supplement of the ""Port of Fremantle"" Quarterly
Photo of small yacht Thisbe in: The Western Mail 1903/01/17, p. 27","Wrecked and sunk","","","","339","","","","Shipwreck","Metro (Mandurah)"
"Thistle","1890","","","","","","N","","","","","","NO","Unknown","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","586","","","","Shipwreck","Unknown"
"Thistle","1903/05/09","Between Bunbury and Durban","La Durante","J. Bateman","O. Williams","Left for South Africa and has not been heard of since","N","11.20","","Timber","1058, 112, 114","Thistle formerly Gio. Batta Repetto (1876–1903)
Official Number:	102225
Port of Building:	Glasgow
Year built:	1876
Port of Registration:	Fremantle
Rig Type:	Barque
Hull:	Wood
Length:	209.6 ft (63.9 m)
Breadth:	36.6 ft (11.16 m)
Depth:	22.6 ft (6.89 m)
Tonnage:	1227.43 gross, 1147.13 net, 1140 under deck
Port from:	Bunbury
Port to:	Durban, South Africa
Date lost:	May 1903
Chart Number:	Aus 755
Protection:	The site when found will be protected under the general provisions of the Historic Shipwrecks Act 1976
Significance criteria:	2 & 7
THE VESSEL
The Thistle was built by L. Durante in Italy as the barque Giovanni Batta Repetto, more commanly referred to as Gio. Batta Repetto. It had one deck, a round stern and a figurehead, and cost £22?000 to build. The framing was of Italian oak with planking of pitch pine. On 10 March 1899, while leaving Albany, the barque struck a reef, believed to be Michaelmas Reef. Badly damaged, it was towed back to Albany harbour where the cargo was discharged, but after examination and despite temporary repairs by a diver, it was condemned as a wreck.
The wreck was bought by John Bateman of the firm of J. & W. Bateman for £300. Fremantle shipwright Robert Howson was employed by Bateman to heave the vessel down and repair the badly damaged planking, including sheathing it with felt and yellow metal The repaired barque sailed for Fremantle on 3 September, arriving six days later having cost Bateman a total of only £1?800. On 8 November 1899 at Fremantle it was registered as the Thistle, No. 8 of 1899 (McKenna, 1959) or No. 2 of 1899 (Dickson, 1996). The official number was changed to 102225, with John Bateman owning all 64 shares. Its first voyage under the new registration was to Shanghai on 29 November 1899.
THE LOSS
The Thistle departed Bunbury for Durban, South Africa, on 9 May 1903 and was not heard of again. On board were the master, O. Williams, 15 crewmen and one passenger. The vessel’s value was £3 000 and the cargo of jarrah was valued at £4 500. Its disappearance remains a mystery. Some large timbers found in deep water by a fisherman may be associated with the disappearance of the Thistle.
STATEMENT OF SIGNIFICANCE
TECHNICAL (2)
The Thistle is technically significant as a large vessel which was wrecked and written off, but subsequently salvaged and repaired before being put back into overseas service.
RARE (7)
The Thistle is rare in being the only Italian-built vessel lost from a south-west port.
REFERENCES
Cairns, L. & Henderson, G., 1995, Unfinished Voyages: Western Australian Shipwrecks 1881–1900. University of Western Australia Press, Nedlands.
Dickson, R., 1992, Marine accidents and Incidents in Western Australian waters: compiled from the Register of Wrecks and Casualties in Western Australia 1897–1942, Her Majesty’s Customs, and the Register of Accidents and Incidents from 1916–1972, from the Department of Marine and Harbours. Report—Department of Maritime Archaeology, Western Australian Maritime Museum, No. 56.
Dickson, R., 1996, Ships registered in Western Australia from 1856 to 1969: their details, their owners and their fate. Report—Department of Maritime Archaeology, Western Australian Maritime Museum, No. 80.
Lloyd’s Register of British and Foreign Shipping 1877. Lloyd’s, London.
Lloyd’s Register of British and Foreign Shipping 1902–03. Lloyd’s, London.
McKenna, R., 1959, Vessels registered with the British Register of Ships at the Port of Fremantle, WA. Unpublished manuscript, McKenna Collection, Western Australian Museum.
McKenna, R., 1967, Record of wrecks, strandings, mishaps etc. on or near the WA coast. Unpublished manuscript, McKenna Collection, Western Australian Museum.
Formerly Italian barque Gio Batta Repetto","NO","Italy","16","","30","6.90","N","","N","N","","","63.00","","","","","102225","Pra","Bunbury","Fremantle","Durban, South Africa","","Protected Federal","Worsley, P. and J. with Green, J., 2012. Capes of Sunset: Western Australia's Maritime Heritage Between Peel Inlet and Flinders Bay. Special Publication. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.
Evening Courier 1903/02/03, p.2; 05/11, p.2 Acc 1076, p.32 Shipping Disasters","Wrecked and sunk","1147.00","1227.00","1883","587","Wooden","Transport","cargo - international","Shipwreck","Metro (S Fremantle)"
"Thistle","1911/06/19","Useless Inlet","","","","","N","","","","","Boat struck a division post between Blocks 4 & 5, ¼ mile from shore. Two crew clung to mast one swam ashore. Survivor walked along beach to Willimia Point from there to Block 10. Wreck was moved to shallow water, not clear if refloated.","NO","","3","","2","","","","N","","","","","","","","","","","","","","","Protected Federal","SRO 430 ITEM 1911/3500 Police Dept","","","","","1123","","","","Shipwreck","Mid-West (Shark Bay)"
"Thomson","1830","Fremantle","","","","Lost","N","","","","1058, 112, 114","","NO","Unknown","","","","","N","","N","N","","","","","","","","","","","Fremantle","","","Protected Federal","Letter of Captain Scott, 1850/09/02","Wrecked and sunk","","","","589","Wooden","","","Shipwreck","Metro"
"Thor","1966","Western side of Lancelin Island","","","","","N","","","","1033, 33, 334","Found by Bob Wallis","NO","","","1971 ?","","","N","207/80","N","N","","","","","","","","","","","","","","Protected Federal","","","","","","613","","Fisheries","","Shipwreck","Mid-West (Moore R)"
"Thornliebank","1928/04/18","16 Km SW of Rottnest, Graveyard","Russell & Co.","McIlwraith, McEacharn & Co.","","Gelignited","N","11.50","","","PWD 54153","Ex 3-masted barque arrived Fremantle 1890","NO","Scotland","","","","6.50","N","445/71,193/79","N","N","","","68.40","","","","","93336","Glasgow","","Fremantle","","","Protected Federal","SRO 3466 Item 1907/046 Hulks","Scuttled","1363.00","1311.00","1886","591","Iron","Transport","cargo - international","Shipwreck","Metro (Graveyard)"
"Three Sisters 2","1976/10/07","Beach off Carbadaman Passage, NW Cape","F. Crockett","William Humphrey Jacobs of Perth","","","N","3.80","","","","Burn and destroyed August 1979
See digital Images/4Midwest/25Pt Cloates/Modern wrecks","NO","","","","","1.70","diesel","","N","N","","","12.50","","","","","332019","Perth","Queensland","","Fremantle","","Not protected State","R. Dixon 1996 Ships Registered in Western Australia from 1856 to 1969","","17.29","","1968","1089","Wooden","","","Shipwreck","North West (NW Cape)"
"Ti Tu","1905/05","Fremantle","A.E. Brown of Fremantle","Septimus Burt, Perth","","","N","2.50","","","114","Launched 1902","NO","WA","","","","1.30","26 Sc.","","N","N","","","12.50","","","","","119045","Fremantle","","Fremantle, 1905","","","Protected Federal","'Soundings' (797-124) July '82, p. 18 – Brief History of the boat
Brititish Mercantile Navy List of 1917
Ron Dickson, They Kept This State Afloat","","8.00","10.00","1901","725","Wooden","","","Shipwreck","Metro (S Fremantle)"
"Tifera","1923/03/08","Fifteen miles off Wallal","A.E. Brown (?)","Archie Male, Broome","C.B. Alexander","During Willy willy","N","3.80","","","1048, 325","See Lorna Doone, formerly a sailing vessel","NO","WA","9","","1","1.40","14 Sc.","3/79, 3/79, 116/80","N","N","","","12.40","","","","","125023","Fremantle","","Fremantle, 1915","","","Protected Federal","Harbour & Light File AN 16/5/ ACC 1066/ 397/1923 BATT 17/6","Foundered","13.00","17.00","1910","558","Wooden","Fisheries","pearling","Shipwreck","North West (Eighty Mile Beach Area)"
"Tim","1835/12/03","Carnac Island","","","","","N","","","","","","NO","Unknown","","","","","N","","N","N","","","","","","","","","","Sydney","","Manila","","Protected Federal","","Wrecked and sunk","164.00","","","593","Wooden","","","Shipwreck","Metro (Cockburn Sound)"
"Timaru, ND4, CND4","1930","","","","","Stripped and scuttled","N","9.20","","","","During WWI, the Commonwealth Government requisitioned or purchased a number of dredges from around Australia, and between 1917 and 1919 brought them to WA for dredging Cockburn Sound for the construction of the Henderson Naval Base. With the cessation of the war, work stopped and the dredges were laid up in Cockburn Sound, and slowly sold off during the 1920s. One of those was the steam hopper barge 404, aka TIMARU, aka Naval Dredger 4, aka CND4, built in 1893.
Register closed 1962 ‘Vessel dismantled and sunk’.
Possibly sold to J.E. Hall stripped and scuttled off Stragglers Rocks or Rottnest Graveyard","","","","","","3.70","Twin screw","","N","N","","","44.20","","","","","","","","","","","Protected Federal","Gregg, M. et al, 2010, Maritime History database","Scuttled","","","1893","1583","","","","Shipwreck","Metro (S Fremantle)"
"Tiram","1942/03","Broome","","","","Destroyed by RAN","N","3.32","","","","Destroyed by Royal Australian Navy at Broome during March 1942","","WA","","","","1.37","","","N","N","","","10.97","","","","","117815","Fremantle","","Fremantle","","","Not protected","Dickson, R. 1996. Ships registered in Western Australia from 1856 to 1969: their details, their owners and their fate, Report-Department of Maritime Archaeology, Westrn Austalian Museum-No.80.","Scuttled","12.11","","1903","1646","Wooden","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Toba","15/12/1933","Peak Islet, Hamelin Bay","","1917: Clark & Co. 1933: Hagbarth ‘Albert’ Hansen","Martinsen","","Y","3.90","120.00","fish","1472"," Toba was built by the Celebes Trading Company at the Aru Islands in the eastern part of what is now Indonesia, for Clark & Co. It had one deck, a straight stem and a counter stern. The joint owners of the vessel, and partners in the company, were James V. Clark, Robert Philp, Percival Pitman Outridge, Isabella Mitchell Campbell, all of Queensland, and one Western Australian, James Theodore Clewett McKenzie, from Broome. Clark & Co. owned over 200 schooners and luggers, most based at Thursday Island, but also some based at Dobo in the Aru Islands. It had been trying to gain entry to the Western Australian pearling industry for many years, a move resisted strongly by the Master Pearlers Association of Broome. However in 1916 Clark was given permission to bring 34 of his boats to Broome. Toba was one of these, and was registered at Fremantle as No. 4/1917 on 26 January 1917. Campbell died on 24 February 1918 but the remaining four partners retained joint ownership. When Philp died on 17 June 1922 the surviving three still remained joint owners. During 1930 the ketch was sold to Hagbarth ‘Albert’ Hansen. The registry was closed on 30 October 1930, and Toba was then re-registered by Hansen as a Geraldton fishing boat, with the registration number G29. It was locally known as ‘Number 29’.
Hansen, aged 34, lived in Marble Bar, and had purchased the Toba for use in the fishing industry, basing the vessel mainly in Fremantle. The four crewmen on this trip were named Martinsen (skipper), Hansen (almost certainly a brother of the owner), Landhurst and Jarlburg. They had been fishing in the Albany area, and had been away from Fremantle for about two weeks before returning to that port with a cargo of fish.
THE LOSS
A newspaper reported that the Toba had run ashore on Hamelin Island at about 8.00 p.m. on 15 December 1933, and had sunk in 20 ft (6.1 m) of water (West Australian 18 December 1933: 19c). This report appears to be in error as the wreck of the Toba lies very close to Peak Island, where it had presumably struck. The four men were picked up by a small fishing boat from Bunbury which landed them on the mainland at Hamelin Bay. A group settler named Jock O’Kane cared for them at Karridale until the lighthouse keeper at Cape Leeuwin took them to Perth by car on 20 December.
INITIAL SALVAGE
The crew of the Toba lost everything when the vessel went down, including the fish caught over the previous two weeks.
SITE LOCATION
The wreck of the Toba lies only 10 m south of Peak Island, hard up against the sloping reef in 7.6 m of water.
SITE DESCRIPTION
The wreck of the Toba was inspected by Michael McCarthy (Department of Maritime Archaeology, Western Australian Museum), on 2 February 1980. The wreckage is on an axis of 120º and lies down the slope of the reef. There is some timber, consisting of a few frames, planking and ceiling with a total thickness of 15 cm, together with ballast stones, a windlass and some 10 mm diameter fastenings. The windlass is a metre long by 0.8 m in diameter.
EXCAVATION AND ARTEFACTS
During the 1960s a small compass bowl supported by three stylised dolphins was recovered from the site of the wreck of the Toba, along with some rubber diver’s hose, the latter recovered by E. Christiansen in 1965. A compass of a similar unusual design, but bigger, was recovered from the wreck of the Katinka, also lost in Hamelin Bay, and both are now on display at the Augusta Historical Museum. The rudder from the Toba is also on display at this museum.","NO","Indonesia","4","27791","","1.97","N","2009/0205/SG _MA-63/08","Y","Y","-34.216667","","12.20","","115.021255","","7.60","131662","Aru Islands Dutch East Indies","Albany","Fremantle","Fremantle","Chart","Protected Federal","Worsley, P. and J. with Green, J., 2012. Capes of Sunset: Western Australia's Maritime Heritage Between Peel Inlet and Flinders Bay. Special Publication. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.
Worsley, P., letters on file dated 21/5/2008 and 26/6/2008","Foundered","17.56","14.81","1907","616","Wooden","Fisheries","","Shipwreck","SW Coast (Hamelin Bay)"
"Tocopilla","1924/02/26","Rottnest Graveyard","Stephen & Sons","McIlwraith, McEacharn & Co.","","Towed to sea and sunk","N","7.90","","","1058, 112, 114","Ex 3-masted barque,","NO","Scotland","","","","5.30","N","193/79","N","N","","","45.40","","","","","50442","Glasgow","","Fremantle","","","Protected Federal","SRO 2466 Item 1912/045 Hulks Permit16/04/1912","Scuttled","478.00","439.00","1865","625","Iron","Services","port services","Shipwreck","Metro (Graveyard)"
"Tommy","1901/02/22","Willie Creek, 2 Miles north of","Walter McFarlane Ford","George Tagg, Cossack","Mankow","Wrecked whilst on voyage from Beagle Bay to Broome","N","3.00","","","1048,1207","","NO","NSW","6","","","1.30","N","3/79","N","N","","","9.80","","","","","73345","Sydney","Beagle Bay","Fremantle","Broome","","Protected Federal","McKenna Collection 681, WA  Maritime Museum
Register of British Ships, Sydney
Register of British Ships, Fremantle","Wrecked and sunk","6.83","","1876","875","Carvel","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Toniko Toko","1906","Broome","","F. Rodriques, W.J. Coleman","","Ship broken to pieces on foreshore at Broome","N","3.60","","","1207, 1948","","NO","WA","","","","1.50","N","3/79","N","N","","","11.90","","","","","101493","Fremantle","","Fremantle","","","Protected Federal","HMC 129/2, 46/2, Parsons BAT McKenna Collection 680, WA  Maritime Museum","Wrecked and sunk","13.00","","1890","892","Carvel","Fisheries","pearling","Shipwreck","North West (Broome Area)"
"Topgallant","1933/11/10","Koombana Bay","","","","Caught fire outside Bunbury, towed inside and beached, but destroyed","N","","","","1034","  Topgallant was a fishing boat, and was owned by a man named Vines from Busselton. The ketch had previously been owned by Dr Kennedy of Perth, was well fitted, and worth an estimated £1 500. The vessel was equipped with refrigeration, and was at the time of its loss manned by only one person, the son of the owner.
THE LOSS
The Topgallant left Bunbury Harbour on Friday 10 November, but being unable to make headway against the strong winds it began to put back. About 3.00 p.m. a fire started on board, and E. Robertson went in his boat to attempt to tow the ketch in to harbour. However the engine on his boat was not powerful enough for the task, so he abandoned the tow and brought Vines ashore. The Echo under the command of Patrick Lyons then towed the Topgallant from about 400 m offshore into the shelter provided by the Bunbury Harbour breakwater. Here the ketch was beached, and although the Bunbury pilot attended, nothing could be done to extinguish the flames and it burnt to the waterline.","NO","","","","","","N","405/71","N","N","","","12.80","","","","","","","","","","","Protected Federal","Worsley, P. and J. with Green, J., 2012. Capes of Sunset: Western Australia's Maritime Heritage Between Peel Inlet and Flinders Bay. Special Publication. Australian National Centre of Excellence for Maritime Archaeology, Fremantle.","Burnt","15.00","","","515","","","","Shipwreck","SW Coast (Bunbury)"
"Topopilla","1924","Rottnest Graveyard.","","","","","N","","","","","","NO","","","","","","N","445/71376/77,","N","N","","","","","","","","","","","","","","Protected Federal","","Scuttled","477.00","","1865","904","Iron","Services","port services","Shipwreck","Metro (Graveyard)"
"Torrens","1926/06/09","Scuttled off North Mole, Fremantle","W.Simons & Co.","North Coast Shipping Company Ltd","","scuttled","N","6.40","","","","Ex dredge and steam tug. round stern, clincher built, 1 deck, two masts.
Built for South Australian Co, Pt Adelaide. converted to cargo and transported to Fremantle. Last role, with engines removed was to be anchored at Crawley for use of Sea Scouts. NB MH Database Beam 6.6","NO","Scotland","","","","2.70","Engines removed","","N","N","","","30.60","","","","","76800","Renfrew","","Fremantle","","","Protected Federal","WA Museum Maritime History Vessels database.
Ref.:  Sea dumping in Australia: Historical and contemporary aspects  Geoff Plunkett  Department of Defence  Department of the Environment and Heritage, 2003
ISBN 0 642 29588 3 @ http://www.deh.gov.au/coasts/pollution/dumping/history/scuttled-wa.html","Scuttled","135.00","38.00","1877","1009","Iron","Services","port services","Shipwreck","Metro North"
"Torrens HMAS","1999/06/16","","RAN","","","Sunk by torpedo from HMAS Farncombe","N","12.50","","","","River class Destroyer","NO","Australia","","","","","steam","12/93","N","","-31.7833333333","","112.50","","114.7833333333","","","","Cockatoo I Dockyard, Sydney","","","","Reported position  RAN","Protected Federal","http://www.youtube.com/watch?v=pBSixrh4G_4","Scuttled","2720.00","","1971","950","","Defence","naval","Shipwreck","Metro"
"Trade Winds","1966/04/02","King Bay","","","W. Bowers","Sank during cyclone","N","","","","327","","NO","","","","","","N","4/79","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","","","","422","","Fisheries","","Shipwreck","North West (Dampier Area)"
"Trader","1961/04/10","Yanchep Beach","","","P. Cousins","","N","","","","","","NO","","","","","","N","","N","N","","","","","","","","","","","","","","Protected Federal","","Wrecked and sunk","","","","1485","","Fisheries","","Shipwreck","Metro North"
"Transit","1842/05/08","Duck Rock, Rottnest","","William Billingsley of the Cape Good Hope","Captain Cobern","Struck rock","N","6.30","","Horses, tea, fruit, wine and sundries","1058, 112, 114","","NO","UK","","","","3.80","N","","N","N","","","20.90","","","","","","Northumberland","Leschenaul","Cape of Good Hope","Fremantle","","Protected Federal","Inquirer, 11 May 1842
Perth Gazette, 14 May 1842
Daniel Scot to COl. Sec. ,11 May 1842, CSO 110, fol. 78
Inquirer, 25 May 1842","Wrecked and sunk","124.00","","1834","594","Wooden","Transport","cargo - international","Shipwreck","Metro (Rottnest)"
